பொருள் பெயர்,Brand,நிறுவனம்,வகை,எம்.ஆர்.பி,Cost Price,Selling Price,அளவு,Units/Case,Shelf Life (days),இருப்பு,Batch No,உற்பத்தி தேதி,காலாவதி தேதி
Parle-G Glucose Biscuit 200g,Parle,Parle Products,பிஸ்கெட்,10,7.5,9,200g,48,365,250,PG2602A,15/01/2026,15/01/2027
Maggi 2-Minute Noodles 70g,Maggi,Nestle India,நூடில்ஸ்,14,10,12.5,70g,48,365,180,MG2601B,01/02/2026,01/02/2027
Lifebuoy சோப் 100g,Lifebuoy,Hindustan Unilever,சோப்,35,22,30,100g,72,730,320,LB2601C,10/01/2026,10/01/2028
Bru Instant Coffee 50g,Bru,Hindustan Unilever,பானம்,85,55,75,50g,36,365,140,BR2602D,20/02/2026,20/02/2027
Colgate Strong Teeth 100g,Colgate,Colgate-Palmolive,பல் பொருள்,52,32,45,100g,48,730,200,CL2601E,05/01/2026,05/01/2028
Tata Tea Gold 250g,Tata Tea,Tata Consumer,தேநீர்,125,82,110,250g,24,365,160,TT2602F,01/02/2026,01/02/2027
சுன்பீக் Sunflower Oil 1L,Sunpeak,Adani Wilmar,எண்ணெய்,165,120,150,1L,12,365,300,SP2601G,15/01/2026,15/01/2027
Britannia Good Day 75g,Britannia,Britannia Industries,பிஸ்கெட்,30,20,27,75g,60,270,190,BD2602H,01/03/2026,27/11/2026
Surf Excel தூள் 1kg,Surf Excel,Hindustan Unilever,சலவைத்தூள்,135,90,120,1kg,12,730,175,SE2601I,10/01/2026,10/01/2028
Amul Taaza பால் 500ml,Amul,Gujarat Co-op Milk,பால்,27,20,25,500ml,24,180,400,AT2603J,20/03/2026,16/09/2026
Tang Orange 500g,Tang,Mondelez India,பானம்,165,110,150,500g,24,365,5,TG2504K,01/04/2025,01/04/2026
Glow & Lovely Cream 50g,Glow & Lovely,Hindustan Unilever,க்ரீம்,99,60,85,50g,48,730,2,GL2506L,15/06/2025,15/06/2027
Complan Royale Chocolate 500g,Complan,Zydus Wellness,பானம்,270,180,245,500g,12,365,0,CP2504M,01/04/2025,01/04/2026
Medimix ஆயுர்வேத சோப் 75g,Medimix,Cholayil Pvt Ltd,சோப்,42,25,36,75g,72,730,1,MM2507N,01/07/2025,01/07/2027
பூஸ்ட் Boost Jar 500g,Boost,Hindustan Unilever,பானம்,299,195,270,500g,12,365,3,BT2505O,15/05/2025,15/05/2026
